,relative_humidity_2m
0,80.57791
1,90.64746
2,93.716896
3,88.942535
4,95.47737
5,97.86736
6,96.986
7,96.1047
8,92.97732
9,90.22672
10,76.27494
11,56.61031
12,45.53192
13,29.786816
14,23.675184
15,21.440405
16,22.13663
17,29.58494
18,34.902172
19,35.527317
20,31.645594
21,29.821562
22,31.713526
23,37.43966
24,37.45333
25,38.301434
26,41.063393
27,61.44519
28,68.27817
29,63.815716
30,62.76018
31,63.693405
32,46.920994
33,34.681553
34,28.159378
35,20.01112
36,19.858095
37,18.315529
38,17.350857
39,17.409075
40,19.696745
41,41.659573
42,34.419384
43,29.732977
44,28.431149
45,29.842607
46,31.26575
47,36.054832
48,31.750029
49,35.111687
50,33.889874
51,32.806896
52,33.20377
53,33.666935
54,33.805485
55,33.882504
56,32.777344
57,24.873627
58,20.131634
59,17.688168
60,17.059336
61,16.294
62,16.25763
63,16.730951
64,18.69185
65,31.065886
66,40.858086
67,37.55708
68,35.283974
69,35.090977
70,33.936333
71,35.777725
72,31.287224
73,32.47511
74,31.932484
75,32.83789
76,33.877853
77,33.896984
78,32.78296
79,31.95671
80,31.247635
81,24.453577
82,19.890993
83,17.102818
84,17.724579
85,16.635353
86,16.121641
87,16.338202
88,18.737501
89,35.63145
90,50.59869
91,49.265438
92,40.660156
93,51.2759
94,42.80045
95,41.282555
96,37.165916
97,40.71449
98,40.868214
99,38.222218
100,36.962673
101,39.183056
102,40.222492
103,41.57446
104,39.90567
105,29.868052
106,23.413357
107,20.031456
108,19.970406
109,18.79382
110,18.236
111,18.15326
112,18.92287
113,18.375118
114,22.783533
115,47.38032
116,53.53464
117,53.08337
118,47.181923
119,47.287613
120,41.396355
121,47.22724
122,55.104366
123,46.98409
124,62.56699
125,52.311363
126,68.70572
127,66.25493
128,62.756985
129,47.910954
130,30.848536
131,21.252375
132,18.842064
133,18.494356
134,18.165985
135,18.43787
136,20.796974
137,30.823149
138,30.911222
139,45.99489
140,44.068916
141,55.7164
142,29.886324
143,56.908257
144,60.97146
145,55.08034
146,59.61414
147,54.574528
148,61.5688
149,59.241653
150,60.97249
151,62.03684
152,56.474895
153,48.41027
154,38.911743
155,31.05739
156,24.767101
157,23.23184
158,21.978163
159,22.239141
160,25.222006
161,32.48671
162,32.456364
163,53.588676
164,47.01834
165,46.535355
166,40.214752
167,50.345734
168,55.829872
169,62.775146
170,69.23221
171,73.707146
172,75.771255
173,78.16901
174,79.13429
175,77.13397
176,70.4283
177,65.37903
178,58.399513
179,45.828053
180,35.447582
181,31.655752
182,30.254059
183,29.217667
184,30.703249
185,39.63083
186,51.718018
187,52.918625
188,64.1762
189,60.1957
190,56.908516
191,52.475536
192,47.09087
193,61.561783
194,73.16826
195,79.61204
196,82.40413
197,84.1887
198,81.56943
199,82.56829
200,74.69452
201,65.578445
202,54.47629
203,43.07869
204,35.747215
205,30.893324
206,27.37536
207,25.432926
208,25.599382
209,37.681385
210,41.878757
211,54.160263
212,55.5988
213,58.999107
214,48.884533
215,65.815735
216,74.57421
217,85.85569
218,90.97657
219,93.50307
220,96.69391
221,97.28778
222,98.48515
223,97.01052
224,90.23369
225,84.48723
226,75.91136
227,62.09363
228,53.431576
229,44.057
230,38.629036
231,34.34333
232,32.5878
233,47.88244
234,43.226917
235,44.66395
236,60.67683
237,50.337254
238,58.870003
239,79.516304
240,82.39314
241,89.68984
242,94.12543
243,96.43002
244,96.14616
245,89.98456
246,91.07006
247,93.01034
248,85.78581
249,75.2441
250,66.05679
251,58.403187
252,52.637905
253,47.624058
254,45.14046
255,43.145805
256,43.213177
257,46.023006
258,58.792614
259,69.52265
260,85.054245
261,85.555786
262,86.30792
263,88.12396
264,84.74984
265,86.29841
266,90.00589
267,93.58995
268,96.15752
269,97.910706
270,98.20751
271,95.87192
272,90.83009
273,80.38088
274,67.94797
275,60.083794
276,48.963104
277,38.066765
278,33.68316
279,30.100367
280,29.243307
281,34.89227
282,42.131077
283,53.44718
284,62.889652
285,61.81643
286,52.933636
287,56.541203
288,70.71168
289,84.676
290,92.72073
291,96.726845
292,99.39278
293,99.69686
294,99.6971
295,98.797386
296,96.73289
297,85.04396
298,69.51768
299,58.94381
300,52.24901
301,44.15417
302,39.268074
303,35.26635
304,33.179485
305,32.782707
306,38.005577
307,43.682117
308,51.188347
309,48.921677
310,66.31038
311,56.553375
312,65.857285
313,77.87127
314,86.63319
315,90.6978
316,91.545555
317,96.38615
318,96.0786
319,95.47905
320,84.526764
321,50.969513
322,20.563385
323,19.31249
324,21.968012
325,23.268568
326,23.343834
327,23.086296
328,24.985125
329,29.933754
330,42.49463
331,45.45703
332,47.943584
333,49.384453
334,55.265987
335,69.86626
336,67.78729
337,77.90799
338,91.26558
339,92.95177
340,97.585045
341,97.277664
342,94.903206
343,92.29266
344,79.678955
345,59.25265
346,41.66235
347,29.953495
348,26.825855
349,18.58037
350,16.188032
351,15.338915
352,15.423623
353,18.00157
354,22.51148
355,25.26812
356,32.1077
357,25.930986
358,33.53948
359,30.632381
360,36.354248
361,54.40157
362,66.41302
363,79.08077
364,74.40179
365,71.24889
366,82.25713
367,94.82711
368,90.067924
369,73.60945
370,42.205532
371,23.82756
372,19.151657
373,15.232921
374,13.858022
